db,type,length
REFSEQ,contig,175801
REFSEQ,contig,262365
REFSEQ,contig,339259
REFSEQ,contig,212178
REFSEQ,contig,248001
REFSEQ,contig,211034
REFSEQ,contig,759951
REFSEQ,contig,305173
REFSEQ,contig,224232
REFSEQ,contig,434948
REFSEQ,contig,291853
REFSEQ,contig,226839
REFSEQ,contig,601799
REFSEQ,contig,316722
ENSEMBL,chr,925499
ENSEMBL,chr,3501379
ENSEMBL,chr,3171009
ENSEMBL,chr,4809942
ENSEMBL,chr,2396018
ENSEMBL,chr,1524546
ENSEMBL,chr,1478127
ENSEMBL,chr,1569595
ENSEMBL,chr,853636
ENSEMBL,chr,1834290
ENSEMBL,chr,1766574
ENSEMBL,chr,1530888
ENSEMBL,chr,4246473
ENSEMBL,chr,2800541
ENSEMBL,chr,1285049
ENSEMBL,chr,1328146
ENSEMBL,chr,1303390
ENSEMBL,chr,1374857
ENSEMBL,chr,1890238
ENSEMBL,chr,11013074
ENSEMBL,chr,205114
ENSEMBL,chr,183060
ENSEMBL,chr,198975
ENSEMBL,chr,1114771
ENSEMBL,chr,1061646
ENSEMBL,chr,1137112
ENSEMBL,chr,6793766
ENSEMBL,chr,3713571
ENSEMBL,chr,9229565
ENSEMBL,chr,9644725
ENSEMBL,chr,3912171
ENSEMBL,chr,9691196
ENSEMBL,chr,2830733
ENSEMBL,chr,3799033
ENSEMBL,chr,907263
ENSEMBL,chr,808716
ENSEMBL,chr,1370290
ENSEMBL,chr,1268348
ENSEMBL,chr,1258566
ENSEMBL,chr,1890512
ENSEMBL,chr,2393813
ENSEMBL,chr,2379951
ENSEMBL,chr,1918090
ENSEMBL,chr,2380142
ENSEMBL,chr,1127861
ENSEMBL,chr,1105669
ENSEMBL,chr,1170268
ENSEMBL,chr,1059694
ENSEMBL,chr,1139054
ENSEMBL,chr,1292648
ENSEMBL,chr,1139805
ENSEMBL,chr,5880977
ENSEMBL,chr,928878
ENSEMBL,chr,1404230
ENSEMBL,chr,1093025
ENSEMBL,chr,1185937
ENSEMBL,chr,5876779
ENSEMBL,chr,1068810
ENSEMBL,chr,7486316
ENSEMBL,chr,50591
ENSEMBL,chr,81078
ENSEMBL,chr,729885
ENSEMBL,chr,728153
ENSEMBL,chr,759125
ENSEMBL,chr,693340
ENSEMBL,chr,715140
ENSEMBL,chr,160945
ENSEMBL,chr,769770
ENSEMBL,chr,748924
ENSEMBL,chr,724451
ENSEMBL,chr,707558
ENSEMBL,chr,733852
ENSEMBL,chr,721779
ENSEMBL,chr,721913
ENSEMBL,chr,719723
ENSEMBL,chr,714463
ENSEMBL,chr,908882
ENSEMBL,chr,690181
ENSEMBL,chr,727486
ENSEMBL,chr,790181
ENSEMBL,chr,706829
ENSEMBL,chr,756740
ENSEMBL,chr,717527
ENSEMBL,chr,730758
ENSEMBL,chr,766687
ENSEMBL,chr,710264
ENSEMBL,chr,741308
ENSEMBL,chr,731691
ENSEMBL,chr,718007
ENSEMBL,chr,734196
ENSEMBL,chr,734045
ENSEMBL,chr,722230
ENSEMBL,chr,766891
ENSEMBL,chr,734057
ENSEMBL,chr,724406
ENSEMBL,chr,715253
ENSEMBL,chr,758613
ENSEMBL,chr,712996
ENSEMBL,chr,732159
ENSEMBL,chr,738648
ENSEMBL,chr,759000
ENSEMBL,chr,735253
ENSEMBL,chr,725727
ENSEMBL,chr,734669
ENSEMBL,chr,757734
ENSEMBL,chr,738423
ENSEMBL,chr,752090
ENSEMBL,chr,733168
ENSEMBL,chr,716477
ENSEMBL,chr,732792
ENSEMBL,chr,721309
ENSEMBL,chr,709764
ENSEMBL,chr,736094
ENSEMBL,chr,759120
ENSEMBL,chr,744838
ENSEMBL,chr,728302
ENSEMBL,chr,797917
ENSEMBL,chr,732413
ENSEMBL,chr,734953
ENSEMBL,chr,757688
ENSEMBL,chr,702844
ENSEMBL,chr,715793
ENSEMBL,chr,713719
ENSEMBL,chr,753172
ENSEMBL,chr,741972
ENSEMBL,chr,787540
ENSEMBL,chr,711991
ENSEMBL,chr,743341
ENSEMBL,chr,725791
ENSEMBL,chr,754812
ENSEMBL,chr,744361
ENSEMBL,chr,799441
ENSEMBL,chr,715289
ENSEMBL,chr,739877
ENSEMBL,chr,720648
ENSEMBL,chr,744233
ENSEMBL,chr,738097
ENSEMBL,chr,763057
ENSEMBL,chr,747084
ENSEMBL,chr,753859
ENSEMBL,chr,705842
ENSEMBL,chr,722461
ENSEMBL,chr,788956
ENSEMBL,chr,792878
ENSEMBL,chr,720970
ENSEMBL,chr,716596
ENSEMBL,chr,723236
ENSEMBL,chr,709518
ENSEMBL,chr,744075
ENSEMBL,chr,717382
ENSEMBL,chr,735350
ENSEMBL,chr,760220
ENSEMBL,chr,762998
ENSEMBL,chr,781279
ENSEMBL,chr,737165
ENSEMBL,chr,721130
ENSEMBL,chr,716466
ENSEMBL,chr,726811
ENSEMBL,chr,715863
ENSEMBL,chr,770349
ENSEMBL,chr,744568
ENSEMBL,chr,782846
ENSEMBL,chr,713825
ENSEMBL,chr,752797
ENSEMBL,chr,778810
ENSEMBL,chr,766756
ENSEMBL,chr,783673
ENSEMBL,chr,711849
ENSEMBL,chr,731059
ENSEMBL,chr,765838
ENSEMBL,chr,739211
ENSEMBL,chr,744429
ENSEMBL,chr,666208
ENSEMBL,chr,1055866
ENSEMBL,chr,1837854
ENSEMBL,chr,2136928
ENSEMBL,chr,2381998
ENSEMBL,chr,810449
ENSEMBL,chr,3472092
ENSEMBL,chr,1378159
ENSEMBL,chr,768866
ENSEMBL,chr,5029284
ENSEMBL,chr,5649578
ENSEMBL,chr,1065811
ENSEMBL,chr,891311
ENSEMBL,chr,868317
ENSEMBL,chr,2985574
ENSEMBL,chr,4166943
ENSEMBL,chr,2795769
ENSEMBL,chr,2795342
ENSEMBL,chr,1287168
ENSEMBL,chr,1147271
ENSEMBL,chr,1901507
ENSEMBL,contig,9284
ENSEMBL,contig,16201
ENSEMBL,contig,9601
ENSEMBL,contig,53776
ENSEMBL,contig,16447
ENSEMBL,contig,574347
ENSEMBL,contig,424552
ENSEMBL,contig,37581
ENSEMBL,contig,3308
ENSEMBL,contig,2506
ENSEMBL,contig,28691
ENSEMBL,contig,607476
ENSEMBL,contig,189482
ENSEMBL,contig,1476366
ENSEMBL,contig,323561
ENSEMBL,contig,104188
ENSEMBL,contig,282456
ENSEMBL,contig,251836
ENSEMBL,contig,54567
ENSEMBL,contig,84664
ENSEMBL,contig,353396
ENSEMBL,contig,535724
ENSEMBL,contig,44332
ENSEMBL,contig,198061
ENSEMBL,contig,425403
ENSEMBL,contig,40740
ENSEMBL,contig,113314
ENSEMBL,contig,539838
ENSEMBL,contig,41446
ENSEMBL,contig,1243508
ENSEMBL,contig,347058
ENSEMBL,contig,1656382
ENSEMBL,contig,789383
ENSEMBL,contig,380757
ENSEMBL,contig,123257
ENSEMBL,contig,1812829
ENSEMBL,contig,1475826
ENSEMBL,contig,53006
ENSEMBL,contig,32863
ENSEMBL,contig,6874
ENSEMBL,contig,178005
ENSEMBL,contig,165139
ENSEMBL,contig,9200
ENSEMBL,contig,1565899
ENSEMBL,contig,53285
ENSEMBL,contig,6434
ENSEMBL,contig,242228
ENSEMBL,contig,360339
ENSEMBL,contig,1146452
ENSEMBL,contig,1082740
ENSEMBL,contig,31800
ENSEMBL,contig,50636
ENSEMBL,contig,660346
ENSEMBL,contig,1180444
ENSEMBL,contig,177593
ENSEMBL,contig,550003
ENSEMBL,contig,13233
ENSEMBL,contig,161902
ENSEMBL,contig,349673
ENSEMBL,contig,315783
ENSEMBL,contig,194635
ENSEMBL,contig,68290
ENSEMBL,contig,6192
ENSEMBL,contig,1170426
ENSEMBL,contig,144550
ENSEMBL,contig,2958491
ENSEMBL,contig,21371
ENSEMBL,contig,161725
ENSEMBL,contig,545014
ENSEMBL,contig,51509
ENSEMBL,contig,227147
ENSEMBL,contig,49372
ENSEMBL,contig,37664
ENSEMBL,contig,17987
ENSEMBL,contig,22153
ENSEMBL,contig,2508027
ENSEMBL,contig,744265
ENSEMBL,contig,8492
ENSEMBL,contig,397991
ENSEMBL,contig,86552
ENSEMBL,contig,142066
ENSEMBL,contig,94349
ENSEMBL,contig,340241
ENSEMBL,contig,39775
ENSEMBL,contig,28735
ENSEMBL,contig,62015
ENSEMBL,contig,138230
ENSEMBL,contig,302884
ENSEMBL,contig,246927
ENSEMBL,contig,182446
ENSEMBL,contig,204666
ENSEMBL,contig,258906
ENSEMBL,contig,284308
ENSEMBL,contig,326969
ENSEMBL,contig,306575
ENSEMBL,contig,295292
ENSEMBL,contig,264933
ENSEMBL,contig,327793
ENSEMBL,contig,319931
ENSEMBL,contig,269812
ENSEMBL,contig,298479
ENSEMBL,contig,288109
ENSEMBL,contig,386653
ENSEMBL,contig,330333
ENSEMBL,contig,213149
ENSEMBL,contig,249900
ENSEMBL,contig,334114
ENSEMBL,contig,258400
ENSEMBL,contig,406986
ENSEMBL,contig,194073
ENSEMBL,contig,660201
ENSEMBL,contig,216991
ENSEMBL,contig,128351
ENSEMBL,contig,108571
ENSEMBL,contig,88986
ENSEMBL,contig,71471
ENSEMBL,contig,98778
ENSEMBL,contig,75514
ENSEMBL,contig,68958
ENSEMBL,contig,4425
ENSEMBL,contig,1537719
ENSEMBL,contig,834611
ENSEMBL,contig,436948
ENSEMBL,contig,644254
ENSEMBL,contig,2385146
ENSEMBL,contig,1631667
ENSEMBL,contig,54690
ENSEMBL,contig,24381
ENSEMBL,contig,958570
ENSEMBL,contig,1371134
ENSEMBL,contig,10512
ENSEMBL,contig,622216
ENSEMBL,contig,1375733
ENSEMBL,contig,1551213
ENSEMBL,contig,157925
ENSEMBL,contig,325822
ENSEMBL,contig,3543522
ENSEMBL,contig,170808
ENSEMBL,contig,1366394
ENSEMBL,contig,50798
ENSEMBL,contig,948004
ENSEMBL,contig,97467
ENSEMBL,contig,4318981
ENSEMBL,contig,499302
